Realistic,Investigative,Artistic,Social,Enterprising,Conventional,pct_Realistic,pct_Investigative,pct_Artistic,pct_Social,pct_Enterprising,pct_Conventional
10,19,12,15,8,8,0.1388888888888889,0.2638888888888889,0.16666666666666666,0.20833333333333334,0.1111111111111111,0.1111111111111111
9,33,13,8,8,5,0.11842105263157894,0.4342105263157895,0.17105263157894737,0.10526315789473684,0.10526315789473684,0.06578947368421052
7,28,14,15,10,8,0.08536585365853659,0.34146341463414637,0.17073170731707318,0.18292682926829268,0.12195121951219512,0.0975609756097561
7,26,12,14,8,9,0.09210526315789473,0.34210526315789475,0.15789473684210525,0.18421052631578946,0.10526315789473684,0.11842105263157894
14,23,11,9,13,10,0.175,0.2875,0.1375,0.1125,0.1625,0.125
11,21,13,16,7,7,0.14666666666666667,0.28,0.17333333333333334,0.21333333333333335,0.09333333333333334,0.09333333333333334
9,23,13,13,13,8,0.11392405063291139,0.2911392405063291,0.16455696202531644,0.16455696202531644,0.16455696202531644,0.10126582278481013
7,21,18,12,10,10,0.08974358974358974,0.2692307692307692,0.23076923076923078,0.15384615384615385,0.1282051282051282,0.1282051282051282
13,27,12,17,9,9,0.14942528735632185,0.3103448275862069,0.13793103448275862,0.19540229885057472,0.10344827586206896,0.10344827586206896
10,23,15,13,12,7,0.125,0.2875,0.1875,0.1625,0.15,0.0875
12,22,17,10,7,5,0.1643835616438356,0.3013698630136986,0.2328767123287671,0.136986301369863,0.0958904109589041,0.0684931506849315
12,25,14,10,9,10,0.15,0.3125,0.175,0.125,0.1125,0.125
11,30,16,12,10,10,0.12359550561797752,0.33707865168539325,0.1797752808988764,0.1348314606741573,0.11235955056179775,0.11235955056179775
8,19,17,13,9,9,0.10666666666666667,0.25333333333333335,0.22666666666666666,0.17333333333333334,0.12,0.12
9,27,13,17,11,7,0.10714285714285714,0.32142857142857145,0.15476190476190477,0.20238095238095238,0.13095238095238096,0.08333333333333333
9,18,15,14,10,11,0.11688311688311688,0.23376623376623376,0.19480519480519481,0.18181818181818182,0.12987012987012986,0.14285714285714285
11,22,16,14,9,11,0.13253012048192772,0.26506024096385544,0.1927710843373494,0.1686746987951807,0.10843373493975904,0.13253012048192772
6,24,14,11,9,9,0.0821917808219178,0.3287671232876712,0.1917808219178082,0.1506849315068493,0.1232876712328767,0.1232876712328767
9,19,12,16,7,6,0.13043478260869565,0.2753623188405797,0.17391304347826086,0.2318840579710145,0.10144927536231885,0.08695652173913043
11,23,15,12,8,10,0.13924050632911392,0.2911392405063291,0.189873417721519,0.1518987341772152,0.10126582278481013,0.12658227848101267
5,27,12,14,8,10,0.06578947368421052,0.35526315789473684,0.15789473684210525,0.18421052631578946,0.10526315789473684,0.13157894736842105
7,30,10,12,8,8,0.09333333333333334,0.4,0.13333333333333333,0.16,0.10666666666666667,0.10666666666666667
9,29,11,12,9,10,0.1125,0.3625,0.1375,0.15,0.1125,0.125
9,23,13,11,13,9,0.11538461538461539,0.2948717948717949,0.16666666666666666,0.14102564102564102,0.16666666666666666,0.11538461538461539
6,24,19,16,9,11,0.07058823529411765,0.2823529411764706,0.2235294117647059,0.18823529411764706,0.10588235294117647,0.12941176470588237
10,20,13,11,12,11,0.12987012987012986,0.2597402597402597,0.16883116883116883,0.14285714285714285,0.15584415584415584,0.14285714285714285
9,24,11,11,8,13,0.11842105263157894,0.3157894736842105,0.14473684210526316,0.14473684210526316,0.10526315789473684,0.17105263157894737
9,20,18,13,11,11,0.10975609756097561,0.24390243902439024,0.21951219512195122,0.15853658536585366,0.13414634146341464,0.13414634146341464
8,22,14,11,7,12,0.10810810810810811,0.2972972972972973,0.1891891891891892,0.14864864864864866,0.0945945945945946,0.16216216216216217
9,30,11,12,8,11,0.1111111111111111,0.37037037037037035,0.13580246913580246,0.14814814814814814,0.09876543209876543,0.13580246913580246
10,18,13,18,7,15,0.12345679012345678,0.2222222222222222,0.16049382716049382,0.2222222222222222,0.08641975308641975,0.18518518518518517
12,21,13,13,10,8,0.15584415584415584,0.2727272727272727,0.16883116883116883,0.16883116883116883,0.12987012987012986,0.1038961038961039
8,31,11,14,9,14,0.09195402298850575,0.3563218390804598,0.12643678160919541,0.16091954022988506,0.10344827586206896,0.16091954022988506
9,27,11,10,13,8,0.11538461538461539,0.34615384615384615,0.14102564102564102,0.1282051282051282,0.16666666666666666,0.10256410256410256
10,20,11,13,9,14,0.12987012987012986,0.2597402597402597,0.14285714285714285,0.16883116883116883,0.11688311688311688,0.18181818181818182
13,24,15,14,11,12,0.14606741573033707,0.2696629213483146,0.16853932584269662,0.15730337078651685,0.12359550561797752,0.1348314606741573
11,25,14,18,9,9,0.12790697674418605,0.29069767441860467,0.16279069767441862,0.20930232558139536,0.10465116279069768,0.10465116279069768
10,13,13,15,11,11,0.136986301369863,0.1780821917808219,0.1780821917808219,0.2054794520547945,0.1506849315068493,0.1506849315068493
