Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,pct_Realistic,pct_Investigative,pct_Artistic,pct_Social,pct_Enterprising,pct_Conventional,Predicted_Career
3,3,4,5,3,3,5,1,3,4,2,3,3,1,1,2,2,4,2,2,4,3,3,2,4,10,19,12,15,8,8,0.1388888888888889,0.2638888888888889,0.16666666666666666,0.20833333333333334,0.1111111111111111,0.1111111111111111,Data / AI Engineering
4,4,3,2,3,2,5,4,3,4,2,2,1,2,4,5,3,3,3,2,2,4,5,3,1,9,33,13,8,8,5,0.11842105263157894,0.4342105263157895,0.17105263157894737,0.10526315789473684,0.10526315789473684,0.06578947368421052,Data / AI Engineering
3,3,2,4,4,4,2,3,3,4,4,3,2,2,4,4,3,5,3,2,3,5,3,5,2,7,28,14,15,10,8,0.08536585365853659,0.34146341463414637,0.17073170731707318,0.18292682926829268,0.12195121951219512,0.0975609756097561,Data / AI Engineering
4,3,3,4,1,3,3,4,2,2,4,4,3,2,4,3,4,3,3,3,2,3,3,3,3,7,26,12,14,8,9,0.09210526315789473,0.34210526315789475,0.15789473684210525,0.18421052631578946,0.10526315789473684,0.11842105263157894,Data / AI Engineering
2,3,3,2,4,3,5,3,3,3,1,4,3,5,3,3,3,2,5,4,4,2,4,2,4,14,23,11,9,13,10,0.175,0.2875,0.1375,0.1125,0.1625,0.125,Mechanical Engineering
5,2,2,4,2,1,3,2,3,2,5,2,3,4,2,3,5,3,3,3,4,2,2,4,4,11,21,13,16,7,7,0.14666666666666667,0.28,0.17333333333333334,0.21333333333333335,0.09333333333333334,0.09333333333333334,Data / AI Engineering
3,3,2,3,4,2,5,3,2,4,2,5,4,2,4,3,4,5,4,2,2,2,3,3,3,9,23,13,13,13,8,0.11392405063291139,0.2911392405063291,0.16455696202531644,0.16455696202531644,0.16455696202531644,0.10126582278481013,Data / AI Engineering
4,3,5,3,5,4,2,2,3,4,4,3,3,2,1,3,5,3,2,3,3,2,3,4,2,7,21,18,12,10,10,0.08974358974358974,0.2692307692307692,0.23076923076923078,0.15384615384615385,0.1282051282051282,0.1282051282051282,Data / AI Engineering
3,4,4,5,2,2,4,4,4,5,4,4,4,4,3,4,2,4,3,3,5,1,4,1,4,13,27,12,17,9,9,0.14942528735632185,0.3103448275862069,0.13793103448275862,0.19540229885057472,0.10344827586206896,0.10344827586206896,Data / AI Engineering
4,3,2,2,5,2,3,3,2,5,4,2,3,2,4,2,3,4,5,2,5,3,2,5,3,10,23,15,13,12,7,0.125,0.2875,0.1875,0.1625,0.15,0.0875,Design & UI/UX Engineering
2,4,5,4,1,3,5,2,3,4,2,3,1,2,3,2,5,2,3,1,5,2,4,3,2,12,22,17,10,7,5,0.1643835616438356,0.3013698630136986,0.2328767123287671,0.136986301369863,0.0958904109589041,0.0684931506849315,Design & UI/UX Engineering
3,3,2,3,3,3,5,5,2,5,1,3,4,4,2,3,3,2,3,3,3,4,3,4,4,12,25,14,10,9,10,0.15,0.3125,0.175,0.125,0.1125,0.125,Data / AI Engineering
4,4,4,4,3,3,4,2,4,3,3,4,4,4,5,4,4,3,3,3,3,4,3,5,2,11,30,16,12,10,10,0.12359550561797752,0.33707865168539325,0.1797752808988764,0.1348314606741573,0.11235955056179775,0.11235955056179775,Data / AI Engineering
