R,I,A,S,E,C,label
3.5,2.75,2.75,3.5,2.75,3.25,Data / AI Engineering
3.25,3.5,2.75,3.0,2.75,2.5,Data / AI Engineering
3.0,3.0,3.75,2.75,3.75,2.25,Data / AI Engineering
3.0,3.0,2.75,4.0,2.5,4.25,Design & UI/UX Engineering
2.5,2.25,3.75,3.25,3.0,4.25,Design & UI/UX Engineering
3.25,3.0,4.0,3.5,3.25,3.5,Data / AI Engineering
2.0,3.5,3.25,2.75,4.0,2.0,Data / AI Engineering
3.25,3.0,3.25,2.75,3.75,2.75,Data / AI Engineering
3.5,4.0,3.0,2.75,3.25,3.75,Data / AI Engineering
3.5,2.75,2.75,3.0,4.0,3.5,Data / AI Engineering
2.75,3.25,3.25,2.75,3.5,3.75,Design & UI/UX Engineering
3.5,4.25,3.0,2.0,2.25,4.0,Data / AI Engineering
2.5,3.0,3.5,2.0,3.25,4.0,Data / AI Engineering
3.0,3.25,3.5,2.75,2.5,3.25,Data / AI Engineering
2.5,3.25,2.75,2.5,3.0,2.5,Data / AI Engineering
3.25,4.0,2.75,3.25,2.75,3.5,Data / AI Engineering
2.5,3.75,3.0,3.0,3.5,3.25,Data / AI Engineering
2.75,3.25,3.25,2.75,3.75,3.5,Data / AI Engineering
2.5,3.25,4.0,3.0,3.0,3.5,Civil Engineering
3.0,3.25,2.75,2.75,3.25,3.0,Data / AI Engineering
4.0,2.75,2.0,2.5,3.25,2.25,Civil Engineering
3.25,3.75,3.75,2.5,3.75,2.75,Civil Engineering
3.0,4.5,3.5,3.75,3.25,3.75,Mechanical Engineering
2.75,2.75,3.0,3.25,3.25,3.25,Design & UI/UX Engineering
3.75,3.25,4.25,2.75,2.75,2.5,Civil Engineering
3.25,2.5,3.5,3.25,3.75,3.25,Data / AI Engineering
2.5,3.25,2.75,3.25,2.25,3.0,Data / AI Engineering
2.75,3.25,3.5,4.5,3.0,3.75,Design & UI/UX Engineering
3.5,3.25,3.25,2.75,3.5,2.75,Data / AI Engineering
2.75,3.5,3.75,2.5,3.75,2.5,Data / AI Engineering
3.0,3.0,3.75,3.0,4.0,2.75,Data / AI Engineering
3.75,3.75,3.25,2.5,2.75,2.75,Data / AI Engineering
3.75,2.75,3.25,3.5,2.75,4.0,Design & UI/UX Engineering
4.5,3.5,2.5,2.5,3.5,3.0,Data / AI Engineering
3.0,3.25,3.5,3.0,3.25,4.0,Data / AI Engineering
3.5,3.5,3.5,2.75,3.0,3.25,Data / AI Engineering
2.75,3.25,2.75,3.5,3.5,3.0,Data / AI Engineering
2.5,4.0,4.5,2.75,3.75,3.75,Data / AI Engineering
3.0,3.75,3.25,3.75,3.5,2.5,Data / AI Engineering
3.25,3.0,3.5,3.0,2.25,3.5,Data / AI Engineering
3.25,3.5,3.25,3.0,2.75,3.75,Data / AI Engineering
3.25,3.0,3.75,3.25,2.25,3.5,Data / AI Engineering
4.0,3.25,3.25,3.25,3.25,4.25,Data / AI Engineering
3.0,2.75,2.75,2.25,3.5,2.75,Data / AI Engineering
3.5,2.75,3.25,3.0,3.25,3.25,Electronics & Communication Engineering
2.5,3.5,3.25,3.0,3.25,3.25,Data / AI Engineering
3.75,3.0,3.0,1.75,2.5,3.0,Data / AI Engineering
2.75,4.0,2.75,3.25,2.75,3.5,Data / AI Engineering
3.75,3.75,2.75,3.25,3.75,3.25,Data / AI Engineering
3.5,3.0,3.75,3.5,2.0,4.0,Data / AI Engineering
3.25,2.25,3.0,3.5,2.25,2.75,Data / AI Engineering
3.75,2.75,3.25,2.75,3.5,3.25,Design & UI/UX Engineering
3.5,2.5,3.25,3.0,2.75,3.0,Data / AI Engineering
3.0,3.0,3.5,3.5,3.5,4.0,Data / AI Engineering
3.75,3.0,3.0,2.5,3.75,2.25,Data / AI Engineering
2.75,4.5,3.25,3.5,3.25,3.75,Data / AI Engineering
3.0,3.25,2.5,2.75,4.25,2.75,Data / AI Engineering
3.25,2.25,3.0,2.75,3.25,2.25,Data / AI Engineering
3.5,3.0,3.25,3.25,3.25,2.75,Design & UI/UX Engineering
2.25,3.5,3.25,3.75,3.5,3.0,Data / AI Engineering
2.25,3.5,3.5,3.0,4.0,3.0,Data / AI Engineering
4.0,3.25,4.0,4.0,3.5,3.5,Data / AI Engineering
3.25,3.25,2.5,2.75,3.5,4.0,Data / AI Engineering
4.0,3.5,2.75,3.5,3.0,4.0,Data / AI Engineering
3.25,2.5,4.0,3.25,4.0,3.0,Data / AI Engineering
1.5,3.5,3.25,3.5,2.25,3.5,Data / AI Engineering
3.75,3.75,2.75,3.25,3.5,2.5,Data / AI Engineering
1.75,4.25,3.25,3.5,4.0,3.5,Data / AI Engineering
3.0,3.5,3.75,3.0,3.5,3.0,Data / AI Engineering
3.75,3.0,3.0,3.0,2.75,3.25,Data / AI Engineering
3.0,2.25,3.75,3.75,3.25,2.75,Data / AI Engineering
3.5,2.75,4.25,4.25,2.5,4.25,Civil Engineering
3.0,2.75,4.0,3.25,3.25,3.5,Data / AI Engineering
3.5,4.0,3.75,3.0,3.25,3.0,Data / AI Engineering
3.25,3.5,3.25,3.75,2.75,4.0,Data / AI Engineering
2.5,3.0,2.75,3.25,3.25,2.0,Data / AI Engineering
2.75,2.75,4.0,2.75,4.25,3.0,Data / AI Engineering
3.25,3.75,2.5,3.25,3.0,3.75,Data / AI Engineering
3.0,3.0,3.25,3.25,2.75,2.5,Data / AI Engineering
1.5,4.5,3.25,3.5,3.25,4.25,Data / AI Engineering
3.0,3.0,2.75,2.75,4.0,2.5,Data / AI Engineering
2.75,3.0,3.5,2.75,3.25,3.5,Data / AI Engineering
3.25,3.5,3.5,3.75,4.0,2.5,Data / AI Engineering
2.75,2.75,2.5,3.25,3.25,3.0,Data / AI Engineering
3.0,3.75,3.25,3.75,3.5,2.5,Data / AI Engineering
3.25,3.25,2.75,2.75,2.75,2.75,Data / AI Engineering
2.0,3.5,3.25,2.5,2.75,3.5,Data / AI Engineering
2.25,3.5,3.0,2.75,3.5,2.5,Data / AI Engineering
2.75,3.5,3.25,3.5,2.5,4.0,Data / AI Engineering
3.0,2.75,3.75,3.5,3.0,3.75,Data / AI Engineering
2.75,3.0,3.0,3.0,3.75,2.75,Data / AI Engineering
3.25,2.5,3.25,4.0,3.75,3.25,Data / AI Engineering
