R,I,A,S,E,C,career
3.2483570765056164,4.930867849414407,1.3238442690503462,1.7615149282040128,1.882923312638332,3.8829315215254097,Backend Developer
3.7896064077536957,5.0,1.0,1.2712800217929823,1.7682911535937689,3.7671351232148718,Backend Developer
3.1209811357830173,4.043359877671101,1.0,1.0,1.4935844398327882,4.157123666297637,Backend Developer
2.5459879622393946,4.293848149332354,1.732824384460777,1.0,2.033764102343962,3.287625906893272,Backend Developer
2.7278086377374087,5.0,1.0,1.187849009172836,1.6996806550405976,3.8541531251033616,Backend Developer
2.6991466938853015,5.0,1.0,1.0,2.4112724560515946,3.389578175014489,Backend Developer
3.104431797502378,4.0201649380601125,1.0,1.0984306179345618,2.3692332899977053,4.085684140594985,Backend Developer
2.94217585880588,4.849448152205356,1.0,1.0,1.7696806145201063,4.528561113109458,Backend Developer
3.1718091447842305,4.118479922318633,1.1620419846973975,1.0,1.6615389998470207,4.305838144420434,Backend Developer
3.5154997612479755,5.0,1.0,1.0,2.165631715701782,4.48777256356118,Backend Developer
2.760412881077355,4.907170511668092,1.0,1.0,2.406262911197099,4.678120014285412,Backend Developer
2.963994939209833,5.0,1.180818012523817,1.0,2.180697802754207,4.769018283232985,Backend Developer
2.982086980445024,5.0,1.0,1.410951252187612,2.043523534119086,3.8504963247670663,Backend Developer
3.045880388267751,4.006215542699554,1.0,1.1785562857558731,2.738947022370758,3.7408648908631763,Backend Developer
2.5957531985534064,4.749121478207732,1.457701058851037,1.1643755548298422,1.7351198981164806,4.256633716556678,Backend Developer
3.0485387746740202,5.0,1.0,1.0,1.8039459234339212,3.2682425259339407,Backend Developer
3.148060138532288,5.0,1.0025567283212304,1.0,1.2923146289747929,3.7896773386173206,Backend Developer
2.828642741736615,4.59886136538919,1.0,1.2020254284072691,2.943092950605265,4.087288906415919,Backend Developer
3.1287751953613823,4.962777042116916,1.0,1.0,2.030115104970513,5.0,Backend Developer
2.903819517609439,5.0,1.0,1.0,2.5714114072575103,4.375966516343387,Backend Developer
3.3955159735215235,4.54530627260263,1.7013971554680496,1.0,2.293428546900135,5.0,Backend Developer
2.504731837434656,4.716851135198614,1.0498256825438206,1.0,1.2246682844669337,4.034281487403014,Backend Developer
2.4688481431369476,5.0,1.0,1.7749672025087697,1.6083733538318814,3.8389692418971624,Backend Developer
3.406758608684835,4.3845678417830225,1.1137299673020646,1.6535713771412142,1.1962583827193862,4.092316929266152,Backend Developer
3.129941397124212,5.0,1.0,1.0,2.2609707828084487,4.148492336616593,Backend Developer
3.1252464251729384,5.0,1.0,1.1161268485805018,2.146536236649341,3.642824290986816,Backend Developer
3.9328872555723784,5.0,1.0,1.3282768043169149,1.5126591648863392,4.393542301871226,Backend Developer
3.579297789503702,4.5896588408241445,1.4816880646221608,1.2063904634682492,2.411030079997245,4.948396491326974,Backend Developer
2.8773059419985647,4.623131917821255,1.0,1.0,1.961449145292948,4.170575987408322,Backend Developer
3.1383453996650097,5.0,1.0065009459389536,1.7267670385786584,1.867671583381022,5.0,Backend Developer
3.312833673882503,4.571421221791859,1.0,1.2412362076215926,1.8882686073370745,4.357000247046046,Backend Developer
3.2366188122867725,4.963585543671564,1.0,1.0,1.7767425239664894,4.428199397161736,Backend Developer
3.107046872065102,4.377130610644006,1.086590462925591,1.1926586898644185,1.5580712818994336,4.076862552972764,Backend Developer
3.029104359223,4.428514851084689,1.1788936801741416,1.2803922631841171,2.5415256215876383,4.526901026017452,Backend Developer
2.3111653160214543,4.531087480042439,1.2575176336043299,1.2568929754561045,2.257523843153024,5.0,Backend Developer
3.2854452553465836,5.0,1.4770008817466012,1.325695625652899,1.8423653776798272,4.379484610246633,Backend Developer
2.613587392731214,4.881590696629996,1.0,1.0409370696931612,3.1573292833367543,3.0663674037041257,Backend Developer
3.3431300951872567,4.193642064405174,1.0,1.544475298483683,2.0321400095477316,3.461127611035347,Backend Developer
