R,I,A,S,E,C,career,interest_label
3.2483570765056164,4.930867849414407,1.3238442690503462,1.7615149282040128,1.882923312638332,3.8829315215254097,Backend Developer,Technical
3.789606407753696,5.0,1.0,1.2712800217929825,1.7682911535937689,3.767135123214872,Backend Developer,Technical
3.1209811357830173,4.043359877671101,1.0,1.0,1.4935844398327882,4.157123666297637,Backend Developer,Technical
2.5459879622393946,4.293848149332354,1.732824384460777,1.0,2.033764102343962,3.287625906893272,Backend Developer,Technical
2.7278086377374087,5.0,1.0,1.187849009172836,1.6996806550405976,3.8541531251033616,Backend Developer,Technical
2.699146693885301,5.0,1.0,1.0,2.4112724560515946,3.389578175014489,Backend Developer,Technical
3.104431797502378,4.0201649380601125,1.0,1.0984306179345618,2.3692332899977053,4.085684140594985,Backend Developer,Technical
2.94217585880588,4.849448152205356,1.0,1.0,1.7696806145201065,4.528561113109458,Backend Developer,Technical
3.1718091447842305,4.118479922318633,1.1620419846973975,1.0,1.6615389998470207,4.305838144420434,Backend Developer,Technical
3.5154997612479755,5.0,1.0,1.0,2.165631715701782,4.48777256356118,Backend Developer,Technical
2.760412881077355,4.907170511668092,1.0,1.0,2.406262911197099,4.678120014285412,Backend Developer,Technical
2.963994939209833,5.0,1.180818012523817,1.0,2.180697802754207,4.769018283232985,Backend Developer,Technical
2.982086980445024,5.0,1.0,1.410951252187612,2.043523534119086,3.8504963247670654,Backend Developer,Technical
3.045880388267751,4.006215542699554,1.0,1.1785562857558731,2.738947022370758,3.740864890863176,Backend Developer,Technical
2.5957531985534064,4.749121478207732,1.457701058851037,1.1643755548298422,1.7351198981164806,4.256633716556678,Backend Developer,Technical
3.04853877467402,5.0,1.0,1.0,1.8039459234339208,3.2682425259339407,Backend Developer,Technical
3.148060138532288,5.0,1.0025567283212304,1.0,1.2923146289747929,3.7896773386173206,Backend Developer,Technical
2.828642741736615,4.59886136538919,1.0,1.2020254284072691,2.943092950605265,4.087288906415919,Backend Developer,Technical
3.1287751953613823,4.962777042116916,1.0,1.0,2.030115104970513,5.0,Backend Developer,Technical
2.903819517609439,5.0,1.0,1.0,2.5714114072575103,4.375966516343387,Backend Developer,Technical
3.3955159735215235,4.54530627260263,1.7013971554680496,1.0,2.293428546900135,5.0,Backend Developer,Technical
2.504731837434656,4.716851135198614,1.0498256825438206,1.0,1.2246682844669337,4.034281487403014,Backend Developer,Technical
2.468848143136948,5.0,1.0,1.7749672025087695,1.6083733538318814,3.8389692418971615,Backend Developer,Technical
3.406758608684835,4.384567841783023,1.1137299673020646,1.6535713771412142,1.1962583827193862,4.092316929266152,Backend Developer,Technical
3.129941397124212,5.0,1.0,1.0,2.2609707828084487,4.148492336616593,Backend Developer,Technical
3.1252464251729384,5.0,1.0,1.1161268485805018,2.146536236649341,3.642824290986816,Backend Developer,Technical
3.9328872555723775,5.0,1.0,1.3282768043169149,1.5126591648863392,4.393542301871226,Backend Developer,Technical
3.579297789503702,4.5896588408241445,1.4816880646221608,1.2063904634682492,2.411030079997245,4.948396491326974,Backend Developer,Technical
2.8773059419985647,4.623131917821255,1.0,1.0,1.961449145292948,4.170575987408322,Backend Developer,Technical
3.1383453996650097,5.0,1.0065009459389536,1.7267670385786584,1.867671583381022,5.0,Backend Developer,Technical
3.312833673882503,4.571421221791859,1.0,1.2412362076215926,1.8882686073370745,4.357000247046046,Backend Developer,Technical
3.2366188122867725,4.963585543671564,1.0,1.0,1.7767425239664894,4.428199397161736,Backend Developer,Technical
3.107046872065102,4.377130610644006,1.086590462925591,1.1926586898644185,1.5580712818994336,4.076862552972764,Backend Developer,Technical
3.029104359223,4.428514851084689,1.1788936801741416,1.2803922631841171,2.5415256215876383,4.526901026017452,Backend Developer,Technical
2.3111653160214543,4.531087480042439,1.25751763360433,1.2568929754561045,2.257523843153024,5.0,Backend Developer,Technical
3.285445255346584,5.0,1.4770008817466012,1.325695625652899,1.8423653776798272,4.379484610246633,Backend Developer,Technical
2.613587392731214,4.881590696629996,1.0,1.0409370696931612,3.1573292833367543,3.0663674037041257,Backend Developer,Technical
3.3431300951872567,4.193642064405174,1.0,1.544475298483683,2.032140009547732,3.461127611035347,Backend Developer,Technical
2.642348145370016,5.0,1.0,1.1082292947909875,2.022785919951907,3.6741998261970914,Backend Developer,Technical
4.071972044662663,5.0,1.0,1.093227157384714,1.669106767615806,4.426216667398112,Backend Developer,Technical
2.60373963078365,4.94263177926655,1.2524936394902286,1.432877597085061,1.3998517964721118,3.832749382079526,Backend Developer,Technical
2.7625273444195217,4.673335383713144,1.8827271201405484,1.2024908554804778,1.3695580228324773,4.458930973527388,Backend Developer,Technical
4.061078098506316,5.0,1.0,1.0,2.6334555745933117,3.6461652671906095,Backend Developer,Technical
3.221909714073114,5.0,1.0,1.0,1.0,3.487806179332855,Backend Developer,Technical
2.87371592430342,4.376108409017576,1.8162056519658176,1.0,1.779977756651508,4.065370288643046,Backend Developer,Technical
3.720636644533058,4.2820689244102805,1.5815818760774798,1.0051165305097935,1.5092456744760243,4.231051737131636,Backend Developer,Technical
3.099529847786735,4.6998915614206025,1.0349010424950094,1.0,2.056758672625624,4.331065337260523,Backend Developer,Technical
3.793008408072676,4.381092250586575,2.066516687328133,1.0,1.9241074524822084,4.2941586032422885,Backend Developer,Technical
3.140495933867516,4.688650240089703,1.0,1.0,1.7053176215278942,4.4248010485105125,Backend Developer,Technical
3.178507742982524,4.653545202369673,1.4497999377166253,1.1536497604383047,2.40643105941948,4.314814420961806,Backend Developer,Technical
2.585502494538964,4.719909479901515,1.3736468025616309,1.3051851327167323,1.989549203017926,4.058663691654391,Backend Developer,Technical
3.638832447894212,4.704214305582085,1.2735486905850188,1.0,1.89115939838639,4.549388425993595,Backend Developer,Technical
3.412708174494015,5.0,1.6527394035771643,1.0105019208163797,2.3409764856474817,3.844866621703272,Backend Developer,Technical
3.162083176244221,4.934928472816158,1.0484979824963592,1.2975785127184567,1.5908896583832637,5.0,Backend Developer,Technical
2.496991309250149,4.392905693606134,1.5790554367500338,1.3958313469814678,2.3120599085260776,4.31417275463214,Backend Developer,Technical
2.9938766135765427,4.551372814257085,1.0379022790968633,1.0,2.4875598667088754,3.9264713092489303,Backend Developer,Technical
2.587251401603744,4.839307079173503,1.206465727137812,1.0,1.5888898022167843,4.121843605745956,Backend Developer,Technical
3.1224832855543614,4.746528412314435,1.0,1.1160249686788182,1.2759578292513378,3.296268112811722,Backend Developer,Technical
2.640777889373782,4.8932764241440765,1.1554537827990023,1.737678108474776,2.42882981160101,3.9200307350182864,Backend Developer,Technical
2.990491896048656,4.498735317681096,1.0,1.0,2.161359280169045,3.5863845282238387,Backend Developer,Technical
3.259673257120586,5.0,1.0,1.2008558610494706,2.345071995855556,3.7993897640570817,Backend Developer,Technical
3.1120462409052085,5.0,1.0488380492744158,1.0,2.0122550871294718,4.248999145622725,Backend Developer,Technical
3.725571803897521,5.0,2.0765912287557784,1.0,2.436160318360339,4.091671002869176,Backend Developer,Technical
4.094901466608836,4.595850857322424,1.0,1.0,1.0,3.7371224891596193,Backend Developer,Technical
2.620433669223151,5.0,1.1708779878885798,1.9380854196079431,2.475211919093025,3.7115481721687984,Backend Developer,Technical
2.550792664325821,5.0,1.0,1.9157293829271769,2.5897200603606434,3.765412173947648,Backend Developer,Technical
2.143432735454561,5.0,1.0,1.6189081559867309,1.2027861706028165,3.700312488523114,Backend Developer,Technical
3.0026218498590915,5.0,1.0,1.3114249661737494,1.466189785308703,3.928810257489353,Backend Developer,Technical
3.0601478158559496,5.0,1.3558074390444448,1.0,1.2329429146321889,4.638838410949255,Backend Developer,Technical
3.166157005989796,4.625756731721723,1.7755759877612616,1.0578373171464293,2.589648592031913,4.033759240705055,Backend Developer,Technical
4.0303739624409936,5.0,1.0,1.4857854754771778,2.322687974792574,4.684315778766174,Backend Developer,Technical
2.517538269709948,5.0,1.529212243424794,1.0,1.4083707436671125,2.98038391111995,Backend Developer,Technical
2.865296582777721,5.0,1.751178526048014,1.0370473902098876,2.814307772785646,3.309949270892554,Backend Developer,Technical
2.148308780322423,4.97222615055169,1.1920327244696536,1.0,1.0,3.955439980243606,Backend Developer,Technical
2.3477652497475736,5.0,1.1832991230484242,1.0,1.7430665413316533,3.4703932390555243,Backend Developer,Technical
2.968660451363414,5.0,1.0,1.252023257758922,1.7348711908137795,3.603563583868828,Backend Developer,Technical
2.946484820022721,4.4823788387903125,1.0,1.0,2.9823625664581948,4.017631775985865,Backend Developer,Technical
2.650137246003707,5.0,1.0,1.0,2.3070833500217125,4.378753855023652,Backend Developer,Technical
2.7347494261947363,4.71209087967766,1.0,1.0,1.242404468900724,4.683437133722262,Backend Developer,Technical
3.822483856750642,4.875481980221811,1.2882784815278832,1.155625077271768,3.539440404227619,4.559787455717288,Backend Developer,Technical
2.9360412042596167,4.522229779699787,1.0,1.1017318179336115,1.6218246273578485,3.288873145201163,Backend Developer,Technical
2.676713557878737,4.459225998192802,1.8435708175362824,1.4408198784747253,1.9960136793416916,4.739972069445013,Backend Developer,Technical
3.038684153823809,4.569357899335868,1.7615620386348287,1.2694550218423293,1.481376922836772,3.904830660958196,Backend Developer,Technical
2.562190873307621,4.308600134517832,1.4630887737658207,1.9547083202350648,1.3007162130904293,4.281484618345285,Backend Developer,Technical
2.6746787154390868,4.756437308117652,1.0,1.0,2.0242608139724134,3.584524941794481,Backend Developer,Technical
3.1352284128899197,4.974880945275432,1.0,1.0,1.7116143347158337,4.377695612912878,Backend Developer,Technical
3.2504585938121906,4.511222377600724,1.049666152714613,1.3756935616858943,1.165297359439314,4.271680096189968,Backend Developer,Technical
2.6686881205270767,5.0,1.0,1.0,1.186228781058419,4.024042473330691,Backend Developer,Technical
3.129861250860741,4.547841687447796,1.319296229388687,1.0,1.9669601006763415,3.394491900118772,Backend Developer,Technical
2.67408194609892,5.0,1.0,1.0,2.5031464046072203,3.711554065238426,Backend Developer,Technical
3.417846056032571,4.435146572671191,1.2649020889576414,1.7207843103289502,1.0,3.601552372264761,Backend Developer,Technical
3.28853606359027,4.898477306978504,1.1855729366856544,1.0,2.04329489373645,3.92216138230396,Backend Developer,Technical
3.5838910308299035,5.0,1.168801331037601,1.0,1.7561968879637533,3.7837209060901897,Backend Developer,Technical
3.1972260711891485,4.789507759589869,1.1448874284482065,2.0377003993227194,2.4355623517158462,3.8369882339160792,Backend Developer,Technical
3.600606961081972,4.795962313489224,1.0,1.0,1.0646040394870722,3.8242432579793455,Backend Developer,Technical
3.009209189594776,5.0,1.1634636868820811,1.0,2.4147027905917446,2.8944323454960577,Backend Developer,Technical
3.117807279054283,5.0,1.0,1.5718770216034643,2.169248203747207,3.7923560430495993,Backend Developer,Technical
3.3163909330531425,5.0,1.0909331275292475,1.124110293150168,1.770319550229878,3.575077815267604,Backend Developer,Technical
3.4151679082721227,4.571958087045567,1.0357831186096962,1.0,2.239489912873196,4.166831052643474,Backend Developer,Technical
3.5187699721289496,4.744991800572627,1.0,1.0,1.777853369961944,4.1886502465224265,Backend Developer,Technical
3.378494308322676,4.538917337911188,1.43480296005283,1.6778189294024757,2.2067174516118504,4.938397906279033,Backend Developer,Technical
2.6131054004482133,4.377672648344292,1.0,1.7480221557445916,2.327182828177029,3.9722076645447726,Backend Developer,Technical
3.13998431315991,4.437255476350812,2.222875989808413,1.0646105909876138,2.0546973973024465,4.362883311949346,Backend Developer,Technical
3.240504615868357,5.0,1.0,1.2357341785679978,2.941012248237517,4.672710023077489,Backend Developer,Technical
3.7965933133196983,4.744392161784408,1.0,1.0,2.0278624561443475,4.547095759235474,Backend Developer,Technical
2.1537676851425904,5.0,1.0,1.0,1.493947812369916,3.1725716640671155,Backend Developer,Technical
3.4115852919809573,5.0,1.0,1.0,1.832107650354936,4.834510762644697,Backend Developer,Technical
2.8702043243181974,4.248428523440947,1.0,1.0,1.0,3.972852566741094,Backend Developer,Technical
2.884532734895661,5.0,1.9244780474726728,1.5632825147738787,1.8655556547225849,3.446737045629165,Backend Developer,Technical
4.286679901624931,5.0,1.0069646459564732,1.0,2.0990423803839278,3.9278197940380286,Backend Developer,Technical
2.7131689965598818,4.726570529379804,1.0,1.0,1.6435771086614177,4.0532151138459485,Backend Developer,Technical
2.872511391289573,5.0,1.0,1.5457534259612309,2.623042596248814,2.9633048837959253,Backend Developer,Technical
2.828656202959825,4.814279567002104,1.0,1.0,1.4447120772670856,4.876135221711811,Backend Developer,Technical
3.4678391965737307,5.0,1.3608360320216175,1.0,1.7377398668601132,4.244687280613959,Backend Developer,Technical
2.388936095554027,5.0,1.0,1.0,2.3554799841017457,4.22213165574302,Backend Developer,Technical
2.81951691709046,5.0,1.0,1.3079678034721318,2.296550628984192,3.8452267803430047,Backend Developer,Technical
3.163066511121059,4.374443211807349,1.4620135096034506,1.0,1.7386384897404803,4.524504612918444,Backend Developer,Technical
2.64782815472862,4.29576935181822,1.0,1.30300497567282,1.3597853237518585,4.877397090992182,Backend Developer,Technical
1.959035296058139,5.0,1.1055087336013092,1.0,1.7275404565955252,4.199568057176036,Backend Developer,Technical
2.981182648787576,5.0,1.05711382433102,1.075150880730939,1.818193893893072,3.971527188139466,Backend Developer,Technical
3.153900884446029,4.144915803671688,1.0,1.3716320470113574,2.085432719063971,3.90800833182366,Backend Developer,Technical
3.0092169665326964,5.0,1.0,1.0,2.097922627548841,3.510813611192484,Backend Developer,Technical
3.204126377857236,4.14870819788108,1.5145778186628218,1.2362987412065216,2.1280148671569377,4.491345491972757,Backend Developer,Technical
3.832737222231288,5.0,1.0,1.0,1.6875907111521606,4.013045525105417,Backend Developer,Technical
3.2588295102345617,4.637128093423267,1.0933833822385393,1.0,1.694241098504026,3.2966694515758888,Backend Developer,Technical
2.538383376944548,4.324157697191833,1.0,1.5268208983039198,1.5253005555840284,5.0,Backend Developer,Technical
3.2466589504404446,5.0,1.0,1.3501549397044956,1.7121810868811131,4.061004907322681,Backend Developer,Technical
4.280042269134397,4.951970050137675,1.574636663142838,1.0,1.9825057547515192,4.885400317817755,Backend Developer,Technical
2.6865164711061165,5.0,1.3538759677277377,1.0,2.3162038695277607,4.486277224813365,Backend Developer,Technical
3.310904981108598,4.214887640054772,1.0,1.0,1.962783285449977,4.310336048775339,Backend Developer,Technical
3.088850500466627,4.33232782064495,1.1900989255029817,1.3052928726419115,2.27989522396552,4.540390362777311,Backend Developer,Technical
3.416961077274452,5.0,1.0,1.0,2.2148091095662927,4.103843843581555,Backend Developer,Technical
